"","avg_temp","full_date","year","date","tooltip"
"75",26.3,"August 14, 1876",1876,"08-14","August 14, 1876 :  26.3 ° C"
"76",26.9,"August 15, 1876",1876,"08-15","August 15, 1876 :  26.9 ° C"
"77",27.2,"August 16, 1876",1876,"08-16","August 16, 1876 :  27.2 ° C"
"78",27.9,"August 17, 1876",1876,"08-17","August 17, 1876 :  27.9 ° C"
"79",28.8,"August 18, 1876",1876,"08-18","August 18, 1876 :  28.8 ° C"
"80",27.4,"August 19, 1876",1876,"08-19","August 19, 1876 :  27.4 ° C"
"81",26.4,"August 20, 1876",1876,"08-20","August 20, 1876 :  26.4 ° C"
"82",24.4,"August 21, 1876",1876,"08-21","August 21, 1876 :  24.4 ° C"
"83",25.7,"August 22, 1876",1876,"08-22","August 22, 1876 :  25.7 ° C"
"84",25.3,"August 23, 1876",1876,"08-23","August 23, 1876 :  25.3 ° C"
"85",25.3,"August 24, 1876",1876,"08-24","August 24, 1876 :  25.3 ° C"
"86",25.4,"August 25, 1876",1876,"08-25","August 25, 1876 :  25.4 ° C"
"87",25.1,"August 26, 1876",1876,"08-26","August 26, 1876 :  25.1 ° C"
"88",25.4,"August 27, 1876",1876,"08-27","August 27, 1876 :  25.4 ° C"
"89",25.9,"August 28, 1876",1876,"08-28","August 28, 1876 :  25.9 ° C"
"90",25.9,"August 29, 1876",1876,"08-29","August 29, 1876 :  25.9 ° C"
"91",25.4,"August 30, 1876",1876,"08-30","August 30, 1876 :  25.4 ° C"
"92",26.5,"August 31, 1876",1876,"08-31","August 31, 1876 :  26.5 ° C"
"93",25.9,"September 01, 1876",1876,"09-01","September 01, 1876 :  25.9 ° C"
"94",25.8,"September 02, 1876",1876,"09-02","September 02, 1876 :  25.8 ° C"
"95",25.8,"September 03, 1876",1876,"09-03","September 03, 1876 :  25.8 ° C"
"96",26.3,"September 04, 1876",1876,"09-04","September 04, 1876 :  26.3 ° C"
"97",26.6,"September 05, 1876",1876,"09-05","September 05, 1876 :  26.6 ° C"
"98",26.8,"September 06, 1876",1876,"09-06","September 06, 1876 :  26.8 ° C"
"99",25.8,"September 07, 1876",1876,"09-07","September 07, 1876 :  25.8 ° C"
"100",24.7,"September 08, 1876",1876,"09-08","September 08, 1876 :  24.7 ° C"
"101",24.7,"September 09, 1876",1876,"09-09","September 09, 1876 :  24.7 ° C"
"102",23.7,"September 10, 1876",1876,"09-10","September 10, 1876 :  23.7 ° C"
"103",25.6,"September 11, 1876",1876,"09-11","September 11, 1876 :  25.6 ° C"
"104",25.8,"September 12, 1876",1876,"09-12","September 12, 1876 :  25.8 ° C"
"105",26.8,"September 13, 1876",1876,"09-13","September 13, 1876 :  26.8 ° C"
"106",25.8,"September 14, 1876",1876,"09-14","September 14, 1876 :  25.8 ° C"
"107",22.1,"September 15, 1876",1876,"09-15","September 15, 1876 :  22.1 ° C"
"108",19.9,"September 16, 1876",1876,"09-16","September 16, 1876 :  19.9 ° C"
"109",22.9,"September 17, 1876",1876,"09-17","September 17, 1876 :  22.9 ° C"
"110",21.9,"September 18, 1876",1876,"09-18","September 18, 1876 :  21.9 ° C"
"111",20.3,"September 19, 1876",1876,"09-19","September 19, 1876 :  20.3 ° C"
"112",17.3,"September 20, 1876",1876,"09-20","September 20, 1876 :  17.3 ° C"
"113",17.2,"September 21, 1876",1876,"09-21","September 21, 1876 :  17.2 ° C"
"114",18.3,"September 22, 1876",1876,"09-22","September 22, 1876 :  18.3 ° C"
"115",17.6,"September 23, 1876",1876,"09-23","September 23, 1876 :  17.6 ° C"
"116",17.7,"September 24, 1876",1876,"09-24","September 24, 1876 :  17.7 ° C"
"117",20.6,"September 25, 1876",1876,"09-25","September 25, 1876 :  20.6 ° C"
"118",22.4,"September 26, 1876",1876,"09-26","September 26, 1876 :  22.4 ° C"
"119",23,"September 27, 1876",1876,"09-27","September 27, 1876 :  23 ° C"
"120",NA,"September 28, 1876",1876,"09-28","September 28, 1876 :  NA ° C"
"121",19.6,"September 29, 1876",1876,"09-29","September 29, 1876 :  19.6 ° C"
"122",14.7,"September 30, 1876",1876,"09-30","September 30, 1876 :  14.7 ° C"
"123",18,"June 01, 1877",1877,"06-01","June 01, 1877 :  18 ° C"
"124",18.9,"June 02, 1877",1877,"06-02","June 02, 1877 :  18.9 ° C"
"125",21.8,"June 03, 1877",1877,"06-03","June 03, 1877 :  21.8 ° C"
"126",21.4,"June 04, 1877",1877,"06-04","June 04, 1877 :  21.4 ° C"
"127",20.4,"June 05, 1877",1877,"06-05","June 05, 1877 :  20.4 ° C"
"128",20.9,"June 06, 1877",1877,"06-06","June 06, 1877 :  20.9 ° C"
"129",20.2,"June 07, 1877",1877,"06-07","June 07, 1877 :  20.2 ° C"
"130",20.2,"June 08, 1877",1877,"06-08","June 08, 1877 :  20.2 ° C"
